id,timestamp,temperature,pressure,jerk_value,latitude,longitude,rssi
508,2025-04-25 10:37:49,31.12,1005.4,3.05,0.0,0.0,-38
509,2025-04-25 10:37:51,31.06,1005.41,0.0,0.0,0.0,-38
510,2025-04-25 10:37:53,31.06,1005.39,0.0,0.0,0.0,-39
511,2025-04-25 10:37:55,31.06,1005.39,0.0,0.0,0.0,-39
512,2025-04-25 10:37:57,31.06,1005.39,0.0,0.0,0.0,-38
513,2025-04-25 10:38:00,31.0,1005.42,1.66,0.0,0.0,-44
514,2025-04-25 10:38:02,31.0,1005.42,1.66,0.0,0.0,-44
515,2025-04-25 10:38:04,31.0,1005.41,2.57,0.0,0.0,-56
516,2025-04-25 10:38:06,31.5,1005.42,0.0,0.0,0.0,-50
517,2025-04-25 10:38:08,31.5,1005.42,0.0,0.0,0.0,-50
518,2025-04-25 10:38:11,32.25,1005.41,2.56,0.0,0.0,-53
519,2025-04-25 10:38:13,32.75,1005.39,3.18,0.0,0.0,-55
520,2025-04-25 10:38:15,33.13,1005.41,2.63,0.0,0.0,-57
521,2025-04-25 10:38:17,33.13,1005.41,2.63,0.0,0.0,-57
522,2025-04-25 10:38:20,33.44,1005.4,0.0,0.0,0.0,-45
523,2025-04-25 10:38:22,33.69,1005.42,0.0,0.0,0.0,-37
524,2025-04-25 10:38:24,33.81,1005.4,2.04,0.0,0.0,-36
525,2025-04-25 10:38:26,33.81,1005.4,2.04,0.0,0.0,-36
526,2025-04-25 10:38:29,33.75,1005.41,2.44,0.0,0.0,-36
527,2025-04-25 10:38:31,33.63,1005.42,1.71,0.0,0.0,-37
528,2025-04-25 10:38:33,33.63,1005.42,1.71,0.0,0.0,-37
529,2025-04-25 10:38:36,33.63,1005.42,1.71,0.0,0.0,-37
530,2025-04-25 10:38:38,33.44,1005.4,7.07,0.0,0.0,-37
